pais,valor_semana,dia_semana,voos_soma,jan_mean,pct_loss,continent
Algeria,19,2,26.0,130.07692307692307,0.8001182732111176,Africa
Algeria,19,3,24.0,130.07692307692307,0.8154937906564163,Africa
Algeria,19,4,4.0,130.07692307692307,0.9692489651094027,Africa
Algeria,19,6,5.0,130.07692307692307,0.9615612063867534,Africa
Algeria,20,0,7.0,130.07692307692307,0.9461856889414547,Africa
Algeria,20,1,14.0,130.07692307692307,0.8923713778829095,Africa
Algeria,20,3,1.0,130.07692307692307,0.9923122412773506,Africa
Algeria,20,4,10.0,130.07692307692307,0.9231224127735068,Africa
Algeria,21,0,8.0,130.07692307692307,0.9384979302188055,Africa
Algeria,21,1,21.0,130.07692307692307,0.8385570668243643,Africa
Algeria,21,2,29.0,130.07692307692307,0.7770549970431697,Africa
Algeria,21,3,12.0,130.07692307692307,0.9077468953282082,Africa
Algeria,21,4,9.0,130.07692307692307,0.9308101714961561,Africa
Algeria,21,5,7.0,130.07692307692307,0.9461856889414547,Africa
Algeria,21,6,2.0,130.07692307692307,0.9846244825547014,Africa
Algeria,22,0,1.0,130.07692307692307,0.9923122412773506,Africa
Algeria,22,1,18.0,130.07692307692307,0.8616203429923123,Africa
Algeria,22,2,32.0,130.07692307692307,0.7539917208752217,Africa
Algeria,22,3,44.0,130.07692307692307,0.6617386162034299,Africa
Argentina,5,0,443.0,265.6923076923077,-0.6673422119281993,South America
Argentina,5,1,424.0,265.6923076923077,-0.5958309206716851,South America
Argentina,5,2,398.0,265.6923076923077,-0.4979733642154025,South America
Argentina,5,3,424.0,265.6923076923077,-0.5958309206716851,South America
Argentina,5,4,423.0,265.6923076923077,-0.5920671685002896,South America
Argentina,5,5,439.0,265.6923076923077,-0.6522872032426174,South America
Argentina,5,6,36.0,265.6923076923077,0.8645049218297626,South America
Argentina,6,0,105.0,265.6923076923077,0.6048060220034742,South America
Argentina,6,1,396.0,265.6923076923077,-0.4904458598726115,South America
Argentina,6,2,391.0,265.6923076923077,-0.4716270990156341,South America
Argentina,6,3,399.0,265.6923076923077,-0.501737116386798,South America
Argentina,6,4,397.0,265.6923076923077,-0.49420961204400704,South America
Argentina,6,5,435.0,265.6923076923077,-0.6372321945570354,South America
Argentina,6,6,441.0,265.6923076923077,-0.6598147075854083,South America
Argentina,7,0,448.0,265.6923076923077,-0.6861609727851767,South America
Argentina,7,1,406.0,265.6923076923077,-0.5280833815865664,South America
Argentina,7,2,399.0,265.6923076923077,-0.501737116386798,South America
Argentina,7,3,422.0,265.6923076923077,-0.5883034163288942,South America
Argentina,7,4,401.0,265.6923076923077,-0.509264620729589,South America
Argentina,7,5,424.0,265.6923076923077,-0.5958309206716851,South America
Argentina,7,6,404.0,265.6923076923077,-0.5205558772437754,South America
Argentina,8,0,420.0,265.6923076923077,-0.5807759119861031,South America
Argentina,8,1,431.0,265.6923076923077,-0.6221771858714534,South America
Argentina,8,2,410.0,265.6923076923077,-0.5431383902721483,South America
Argentina,8,3,415.0,265.6923076923077,-0.5619571511291257,South America
Argentina,8,4,446.0,265.6923076923077,-0.6786334684423857,South America
Argentina,8,5,457.0,265.6923076923077,-0.720034742327736,South America
Argentina,8,6,398.0,265.6923076923077,-0.4979733642154025,South America
