Country,Output-Response-Total cases rate after,Output-Response-Total deaths rate after,Output-CLI percent impact,Output-PMI-ind percent impact,Output-PMI-serv percent impact,Output-PMI-comp percent impact,Average Temperature April,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by non-communicable diseases (% of total)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),Day10thDeath,GDP per capita (current US$),"International tourism, number of arrivals","Life expectancy at birth, total (years)",Population,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Population in urban agglomerations of more than 1 million (% of total population),Population living in slums (% of urban population),Prevalence of undernourishment (% of population),Urban population (% of total population),Input-Response-Stringency Index,Input-Response-automotive pollution percent,Input-Response-mobility retail and recreation percent,Input-Response-mobility grocery and pharmacy percent,Input-Response-mobility parks percent,Input-Response-mobility transit stations percent,Input-Response-mobility workplaces percent,Input-Response-mobility residential percent,Continent
Pakistan,1.0994795347381192,1.151149414525839,,,,,23.58,34.9,57.8,2.75,39.58,89.0,1482.4,966000.0,66.95,212215030.0,35.27,60.42,4.31,275.29,20.07,45.5,20.3,36.67,94.85714285714288,,68.14285714285714,51.142857142857146,39.857142857142854,57.42857142857143,59.285714285714285,-22.285714285714285,Asia  
Panama,1.1222810497067817,1.1424972125983153,,,,,27.75,15.6,74.6,7.26,1040.67,88.0,15575.07,1785000.0,78.15,4176873.0,27.06,64.83,8.1,56.19,42.7,25.8,10.0,67.71,80.53571428571429,,80.0,53.857142857142854,71.0,75.0,68.14285714285714,-37.857142857142854,Americas
Paraguay,1.0358443675361315,1.0331938343738771,,,,,23.86,13.7,74.4,8.02,327.24,122.0,5821.81,1181000.0,73.99,6956071.0,29.44,64.13,6.43,17.51,46.32,17.6,10.7,61.59,95.23714285714286,,72.85714285714286,53.857142857142854,67.85714285714286,79.57142857142857,61.57142857142857,-32.285714285714285,Americas
Peru,1.1318186709076665,1.1855281654836198,,,,,20.64,20.3,69.2,5.14,316.44,88.0,6941.24,4419000.0,76.29,31989256.0,25.79,66.12,8.09,24.99,32.48,34.2,9.7,77.91,96.02999999999999,,74.57671957671958,56.262197802197804,65.61904761904762,80.89010989010988,60.195767195767196,-33.18613445378151,Americas
Philippines,1.2135002621289888,1.1609036859108708,,,,,27.64,25.2,67.3,4.39,129.43,76.0,3102.71,7168000.0,70.95,106651922.0,30.96,63.91,5.12,357.69,14.28,38.3,13.3,46.91,78.35142857142857,67.2838254123195,51.0,21.714285714285715,31.285714285714285,55.42857142857143,42.142857142857146,-21.0,Asia  
Poland,1.1588848356777695,1.1588200989276078,2.2480703568756297,,,,9.71,5.0,90.3,6.52,809.01,85.0,15420.91,19622000.0,77.85,37974750.0,15.05,67.43,17.52,124.04,4.65,,2.5,60.06,60.050000000000004,19.590202709858726,56.56302521008404,29.126050420168067,20.445378151260506,56.336134453781504,35.76470588235294,-15.949579831932775,Europe
Portugal,1.1453221445756856,1.2452486032086025,8.163514740112092,,,,14.28,10.2,85.6,9.08,1800.86,82.0,23407.91,16186000.0,81.12,10283822.0,13.46,64.59,21.95,112.24,41.18,,2.5,65.21,86.64,59.964931402980824,76.18367346938776,45.07482993197279,60.523809523809526,72.17273576097105,57.68027210884354,-28.81007326007326,Europe
Puerto Rico,1.1198325029401892,1.1377146302932801,,,,,25.28,,,,,93.0,31651.35,3068000.0,79.63,3195153.0,16.84,64.49,18.67,360.22,76.81,,,93.58,94.58000000000001,,74.42857142857143,48.285714285714285,69.42857142857143,78.85714285714286,60.285714285714285,-28.142857142857142,Americas
Qatar,1.0821895568457476,1.028785727370509,,,,,27.42,5.2,68.9,3.08,1827.06,114.0,68793.78,1819300.0,79.98,2781677.0,13.54,85.09,1.37,239.59,,,,99.14,91.53999999999999,,56.57142857142857,29.285714285714285,44.857142857142854,58.285714285714285,37.57142857142857,-23.571428571428573,Asia  
Romania,1.1300485531426336,1.2138138262685918,,,,,10.66,4.2,92.2,4.98,476.37,85.0,12301.19,11720000.0,75.31,19466145.0,15.53,66.13,18.34,84.64,9.35,,2.5,54.0,83.33428571428571,56.62614763128904,68.62790697674419,46.1827242524917,47.2890365448505,59.9578389495333,43.56478405315614,-18.22488762947039,Europe
Russia,1.169286455819348,1.2164161067183221,4.9806099039410725,,,,-3.36,4.8,87.4,5.27,469.13,91.0,11288.87,24551000.0,72.12,144478050.0,17.91,67.41,14.67,8.82,23.19,,2.5,74.43,87.98428571428572,35.264351489423504,,,,,,,Europe
San Marino,1.0706644212828273,1.0910552299148752,,,,,13.39,,,6.4,3012.79,78.0,48494.55,84000.0,85.42,33785.0,,,,563.08,,,,97.23,82.26571428571427,,,,,,,,Europe
Saudi Arabia,1.0906718576707712,1.1356697588763307,,,,,27.16,10.6,73.2,5.74,1147.33,92.0,23338.96,15334000.0,74.87,33699947.0,25.04,71.64,3.31,15.68,47.28,18.0,7.1,83.84,92.72000000000001,64.71296485608487,47.60204081632652,22.244897959183675,50.472527472527474,65.64935064935064,37.16326530612245,-18.39339232196375,Asia  
Senegal,,,,,,,31.43,45.7,42.1,5.51,52.61,126.0,1521.95,1365000.0,67.38,15854360.0,43.06,53.86,3.09,82.35,18.79,39.4,11.3,47.19,,,44.142857142857146,29.714285714285715,31.714285714285715,53.57142857142857,28.285714285714285,-17.857142857142858,Africa
Serbia,1.1289244099029705,1.1586688069854933,,,,,11.67,2.4,94.6,9.14,494.42,89.0,7246.73,1711000.0,76.09,6982604.0,15.69,65.96,18.35,79.83,19.9,,5.7,56.09,100.0,57.774080688963394,67.14285714285714,34.57142857142857,53.142857142857146,67.85714285714286,56.857142857142854,-21.0,Europe
Sierra Leone,,,,,,,28.49,57.9,33.2,16.53,86.31,127.0,533.99,57000.0,53.9,7650154.0,41.06,55.97,2.97,105.99,14.85,75.6,25.6,42.05,78.38142857142857,,,,,,,,Africa
Singapore,1.1074703729274529,1.0447767086866702,,,,,27.63,22.7,73.6,4.47,2462.39,106.0,64581.94,14673000.0,82.9,5638676.0,12.28,76.26,11.46,7953.0,100.0,,,100.0,61.144285714285715,,35.714285714285715,0.2857142857142857,32.714285714285715,45.714285714285715,34.285714285714285,-25.0,Asia  
Slovakia,1.0275276488581642,1.080059738892306,4.032141948180325,,,,9.77,4.8,89.2,7.13,1178.74,110.0,19442.71,2256000.0,77.17,5446771.0,15.45,68.92,15.63,113.29,,,3.4,53.73,81.68571428571428,41.50375939849625,65.77777777777777,25.3015873015873,-27.487244897959187,49.36507936507936,37.698412698412696,-13.079365079365079,Europe
Slovenia,1.041759071115179,1.1401485439377639,3.8626610301784865,,,,11.27,5.0,88.4,8.47,1834.16,90.0,26123.97,4425000.0,81.18,2073894.0,15.02,65.37,19.61,102.64,,,2.5,54.54,87.16857142857144,,80.62618815263905,53.789436108565575,49.59047619047619,61.879665712438815,52.151620999071746,-23.928571428571427,Europe
Somalia,1.125415568015407,1.106679233267917,,,,,28.76,64.2,23.9,,,114.0,314.54,,56.71,15008154.0,46.58,50.55,2.87,23.92,13.87,73.6,,44.97,59.38999999999999,,,,,,,,Africa
South Africa,1.040880460735202,1.1364636663857248,-0.5372248217845765,,,,17.58,39.6,51.3,8.11,428.18,97.0,6374.03,10472000.0,63.54,57779622.0,29.08,65.6,5.32,47.63,35.31,23.0,6.2,66.36,91.39999999999999,26.313382012379893,71.11428571428571,45.35714285714285,34.91428571428572,71.53333333333333,61.642857142857146,-30.599999999999998,Africa
South Korea,1.1526725815525247,1.1480333746076383,-1.4943706717550924,,,,11.83,10.1,79.8,7.34,2043.86,57.0,31362.75,15347000.0,82.63,51606633.0,12.97,72.61,14.42,529.65,50.15,,2.5,81.46,59.95571428571429,16.90989157434772,31.285714285714285,9.857142857142858,12.714285714285714,24.857142857142858,9.714285714285714,-9.857142857142858,Asia  
