,org,dest,week_value,pct_loss
416,Argentina,Germany,7,-1.1818181818181819
417,Argentina,Germany,8,-1.5454545454545454
418,Argentina,Germany,9,-0.8181818181818182
419,Argentina,Germany,10,0.2727272727272727
420,Argentina,Germany,11,-0.45454545454545453
421,Argentina,Germany,12,0.6363636363636364
422,Argentina,Germany,13,1.0
423,Argentina,Germany,14,0.6363636363636364
424,Argentina,Germany,15,1.0
425,Argentina,Germany,16,1.0
426,Argentina,Germany,17,1.0
427,Argentina,Germany,18,1.0
428,Argentina,Germany,19,1.0
429,Argentina,Germany,20,1.0
430,Argentina,Germany,21,1.0
431,Argentina,Germany,22,1.0
432,Argentina,Italy,5,-0.7
433,Argentina,Italy,6,-1.2
434,Argentina,Italy,7,-0.9
435,Argentina,Italy,8,-1.4
436,Argentina,Italy,9,-0.9
437,Argentina,Italy,10,0.3
438,Argentina,Italy,11,-0.2
439,Argentina,Italy,12,0.7
440,Argentina,Italy,13,1.0
441,Argentina,Italy,14,1.0
442,Argentina,Italy,15,1.0
443,Argentina,Italy,16,1.0
444,Argentina,Italy,17,0.8
445,Argentina,Italy,18,1.0
446,Argentina,Italy,19,1.0
447,Argentina,Italy,20,1.0
448,Argentina,Italy,21,1.0
449,Argentina,Italy,22,1.0
450,Argentina,Mexico,5,-1.2857142857142858
451,Argentina,Mexico,6,-0.7142857142857143
452,Argentina,Mexico,7,1.0
453,Argentina,Mexico,8,-0.14285714285714285
454,Argentina,Mexico,9,-0.14285714285714285
455,Argentina,Mexico,10,1.0
456,Argentina,Mexico,11,1.0
457,Argentina,Mexico,12,1.0
458,Argentina,Mexico,13,1.0
459,Argentina,Mexico,14,1.0
460,Argentina,Mexico,15,1.0
461,Argentina,Mexico,16,1.0
462,Argentina,Mexico,17,1.0
463,Argentina,Mexico,18,1.0
464,Argentina,Mexico,19,1.0
465,Argentina,Mexico,20,1.0
466,Argentina,Mexico,21,1.0
467,Argentina,Mexico,22,1.0
468,Argentina,Netherlands,5,-0.5384615384615384
469,Argentina,Netherlands,6,-0.8461538461538461
470,Argentina,Netherlands,7,-1.1538461538461537
471,Argentina,Netherlands,8,-1.1538461538461537
472,Argentina,Netherlands,9,-0.6923076923076923
473,Argentina,Netherlands,10,0.38461538461538464
474,Argentina,Netherlands,11,-0.23076923076923078
475,Argentina,Netherlands,12,1.0
476,Argentina,Netherlands,13,1.0
477,Argentina,Netherlands,14,1.0
478,Argentina,Netherlands,15,1.0
479,Argentina,Netherlands,16,1.0
480,Argentina,Netherlands,17,1.0
481,Argentina,Netherlands,18,1.0
482,Argentina,Netherlands,19,1.0
483,Argentina,Netherlands,20,1.0
484,Argentina,Netherlands,21,0.6923076923076923
485,Argentina,Netherlands,22,1.0
486,Argentina,New Zealand,5,0.0
487,Argentina,New Zealand,6,1.0
488,Argentina,New Zealand,7,0.0
489,Argentina,New Zealand,8,0.5
490,Argentina,New Zealand,9,0.5
491,Argentina,New Zealand,10,1.0
492,Argentina,New Zealand,11,0.0
493,Argentina,New Zealand,12,-0.25
494,Argentina,New Zealand,13,1.0
495,Argentina,New Zealand,14,1.0
496,Argentina,New Zealand,15,1.0
497,Argentina,New Zealand,16,0.5
498,Argentina,New Zealand,17,1.0
499,Argentina,New Zealand,18,1.0
500,Argentina,New Zealand,19,-0.25
501,Argentina,New Zealand,20,-1.5
502,Argentina,New Zealand,21,-0.75
503,Argentina,New Zealand,22,0.5
504,Argentina,Spain,5,-0.4825174825174825
505,Argentina,Spain,6,-0.7902097902097902
506,Argentina,Spain,7,-0.9020979020979021
507,Argentina,Spain,8,-1.1818181818181819
508,Argentina,Spain,9,-0.5944055944055944
509,Argentina,Spain,10,0.4125874125874126
510,Argentina,Spain,11,-0.3986013986013986
511,Argentina,Spain,12,0.38461538461538464
512,Argentina,Spain,13,1.0
513,Argentina,Spain,14,1.0
514,Argentina,Spain,15,0.9440559440559441
515,Argentina,Spain,16,1.0
516,Argentina,Spain,17,1.0
517,Argentina,Spain,18,0.9440559440559441
518,Argentina,Spain,19,1.0
519,Argentina,Spain,20,0.916083916083916
520,Argentina,Spain,21,0.9440559440559441
521,Argentina,Spain,22,1.0
522,Argentina,United Kingdom,5,-0.6585365853658537
523,Argentina,United Kingdom,6,-0.6585365853658537
524,Argentina,United Kingdom,7,-0.6585365853658537
525,Argentina,United Kingdom,8,-1.146341463414634
526,Argentina,United Kingdom,9,-0.6585365853658537
527,Argentina,United Kingdom,10,0.4146341463414634
528,Argentina,United Kingdom,11,-0.17073170731707318
529,Argentina,United Kingdom,12,0.7073170731707317
530,Argentina,United Kingdom,13,1.0
531,Argentina,United Kingdom,14,1.0
532,Argentina,United Kingdom,15,1.0
533,Argentina,United Kingdom,16,1.0
534,Argentina,United Kingdom,17,1.0
535,Argentina,United Kingdom,18,1.0
536,Argentina,United Kingdom,19,0.8048780487804879
537,Argentina,United Kingdom,20,1.0
538,Argentina,United Kingdom,21,0.8048780487804879
539,Argentina,United Kingdom,22,0.8048780487804879
540,Argentina,United States,5,-0.4972677595628415
541,Argentina,United States,6,-0.4644808743169399
542,Argentina,United States,7,-0.7923497267759563
543,Argentina,United States,8,-0.7704918032786885
544,Argentina,United States,9,-0.2786885245901639
545,Argentina,United States,10,0.5081967213114754
546,Argentina,United States,11,-0.3005464480874317
547,Argentina,United States,12,0.43169398907103823
548,Argentina,United States,13,0.8797814207650273
549,Argentina,United States,14,0.9344262295081968
550,Argentina,United States,15,0.9344262295081968
551,Argentina,United States,16,0.6721311475409836
552,Argentina,United States,17,0.7923497267759563
553,Argentina,United States,18,0.6284153005464481
554,Argentina,United States,19,0.6939890710382514
555,Argentina,United States,20,0.7158469945355191
556,Argentina,United States,21,0.7049180327868853
557,Argentina,United States,22,0.7923497267759563
558,Armenia,Austria,5,-0.2631578947368421
559,Armenia,Austria,6,0.15789473684210525
560,Armenia,Austria,7,-0.2631578947368421
561,Armenia,Austria,8,-0.2631578947368421
562,Armenia,Austria,9,-0.2631578947368421
563,Armenia,Austria,10,-0.6842105263157895
564,Armenia,Austria,11,-0.2631578947368421
565,Armenia,Austria,12,0.15789473684210525
566,Armenia,Austria,13,0.5789473684210527
567,Armenia,Austria,14,1.0
568,Armenia,Austria,15,1.0
569,Armenia,Austria,16,1.0
570,Armenia,Austria,17,1.0
571,Armenia,Austria,18,1.0
572,Armenia,Austria,19,1.0
573,Armenia,Austria,20,1.0
574,Armenia,Austria,21,1.0
575,Armenia,Austria,22,1.0
576,Armenia,France,5,-0.3333333333333333
577,Armenia,France,6,-0.3333333333333333
578,Armenia,France,7,1.0
579,Armenia,France,8,-0.3333333333333333
580,Armenia,France,9,1.0
581,Armenia,France,10,1.0
582,Armenia,France,11,1.0
583,Armenia,France,12,1.0
584,Armenia,France,13,1.0
585,Armenia,France,14,1.0
586,Armenia,France,15,1.0
587,Armenia,France,16,1.0
588,Armenia,France,17,1.0
589,Armenia,France,18,1.0
590,Armenia,France,19,1.0
591,Armenia,France,20,1.0
592,Armenia,France,21,1.0
593,Armenia,France,22,1.0
594,Armenia,Germany,5,1.0
595,Armenia,Germany,6,1.0
596,Armenia,Germany,7,-5.0
597,Armenia,Germany,8,1.0
598,Armenia,Germany,9,1.0
599,Armenia,Germany,10,1.0
600,Armenia,Germany,11,1.0
601,Armenia,Germany,12,1.0
602,Armenia,Germany,13,1.0
603,Armenia,Germany,14,1.0
604,Armenia,Germany,15,1.0
605,Armenia,Germany,16,1.0
606,Armenia,Germany,17,1.0
607,Armenia,Germany,18,-3.0
608,Armenia,Germany,19,1.0
609,Armenia,Germany,20,1.0
610,Armenia,Germany,21,-1.0
611,Armenia,Germany,22,1.0
612,Armenia,Greece,5,-1.0
613,Armenia,Greece,6,-3.0
614,Armenia,Greece,7,-1.0
615,Armenia,Greece,8,-3.0
616,Armenia,Greece,9,-1.0
617,Armenia,Greece,10,1.0
618,Armenia,Greece,11,1.0
619,Armenia,Greece,12,-1.0
620,Armenia,Greece,13,1.0
621,Armenia,Greece,14,1.0
622,Armenia,Greece,15,1.0
623,Armenia,Greece,16,1.0
624,Armenia,Greece,17,1.0
625,Armenia,Greece,18,1.0
626,Armenia,Greece,19,1.0
627,Armenia,Greece,20,1.0
628,Armenia,Greece,21,1.0
629,Armenia,Greece,22,1.0
630,Armenia,Israel,5,-1.0
631,Armenia,Israel,6,1.0
632,Armenia,Israel,7,1.0
633,Armenia,Israel,8,1.0
634,Armenia,Israel,9,1.0
635,Armenia,Israel,10,1.0
636,Armenia,Israel,11,1.0
637,Armenia,Israel,12,1.0
